iter	RMSE
0	34.72092333
1	34.47222596
2	34.24646286
3	34.14886096
4	34.06221757
5	33.90416982
6	33.74145966
7	33.60501826
8	33.50795718
9	33.41880918
10	33.3089695
11	33.23768616
12	33.1745877
13	33.06978334
14	33.02510682
15	32.92810898
16	32.88988246
17	32.84686338
18	32.79319849
19	32.74322552
20	32.63642064
21	32.55239609
22	32.51981987
23	32.47593756
24	32.43354681
25	32.40041394
26	32.37238184
27	32.29403747
28	32.26252087
29	32.22908726
30	32.20525776
31	32.1596774
32	32.12933877
33	32.01536847
34	32.00137618
35	31.96724529
36	31.93129758
37	31.80756811
38	31.7704156
39	31.73640835
40	31.69873288
41	31.65043597
42	31.60113849
43	31.57770212
44	31.52277977
45	31.46973713
46	31.42811922
47	31.39001828
48	31.3661343
49	31.30068134
50	31.22352043
51	31.18730329
52	31.15796129
53	31.12777602
54	31.11171646
55	31.0618924
56	31.0343473
57	30.96392675
58	30.90429198
59	30.85750398
60	30.82302497
61	30.79578014
62	30.75335309
63	30.72768712
64	30.6817074
65	30.63908926
66	30.610591
67	30.58929268
68	30.57835657
69	30.55042783
70	30.51938764
71	30.48862732
72	30.41996747
73	30.38010796
74	30.32086075
75	30.27266103
76	30.2423086
77	30.18711684
78	30.1545241
79	30.09696066
80	30.06726798
81	30.02381767
82	29.94259879
83	29.87314445
84	29.81799313
85	29.81234063
86	29.77608205
87	29.68345678
88	29.63414291
89	29.60446038
90	29.56369008
91	29.53984944
92	29.50360976
93	29.47184704
94	29.40097345
95	29.37141505
96	29.32810774
97	29.262121
98	29.24657893
99	29.22878968
100	29.21771212
101	29.19900168
102	29.1836874
103	29.16099108
104	29.12467384
105	29.07164012
106	29.01714065
107	28.98634391
108	28.97447019
109	28.92024105
110	28.87745785
111	28.81644331
112	28.78830112
113	28.71316027
114	28.68687617
115	28.6573419
116	28.64783765
117	28.60951747
118	28.5924481
119	28.556459
120	28.49536332
121	28.45798936
122	28.38712396
123	28.3326115
124	28.293917
125	28.24155019
126	28.20395797
127	28.15436409
128	28.09725761
129	28.06471282
130	28.04061438
131	28.00851523
132	27.93908974
133	27.9116126
134	27.84941797
135	27.7669044
136	27.73306231
137	27.69214386
138	27.65421143
139	27.62970082
140	27.60565948
141	27.58323199
142	27.51469172
143	27.48579305
144	27.3925932
145	27.37660374
146	27.3518622
147	27.32845589
148	27.30857875
149	27.26894517
